# Onda Corporation
# Hydrophone Preamplifier Calibration Data
#
FILE_NAME AG-A2010-20-060-1132_151117.txt
#
AMP_CAL_DATE 17-Nov-2015
AMP_MFG ONDA
AMP_MODEL AG-A2010
AMP_SN 1132
AMP_GAIN_NOM_DB 20
AMP_BW_NOM_MHZ 060
AMP_OUTPUT_IMP_NOM_OHMS 50
AMP_INPUT_CAP_NOM_PF 6.2 
AMP_INPUT_CAP_DATA_TYPE CALIBRATED
AMP_GAIN_UNCERT_DB 0.03
AMP_CAP_UNCERT_PCT 2.5
#
# Calibration Data
# Freq(MHz) Gain(dB) Phase(deg) Cap(pF)
#
DATA_FIELDS 4
DATA_FIELD FREQ_MHZ
DATA_FIELD GAIN_DB
DATA_FIELD PHASE_DEG
DATA_FIELD CAP_PF
#
# End of file header
HEADER_END 0
078.000 12.59 -216.55 6.88
079.000 12.43 -219.39 6.89
080.000 12.30 -222.16 6.90
081.000 12.14 -224.88 6.92
082.000 11.98 -227.63 6.94
083.000 11.82 -230.27 6.94
084.000 11.66 -232.96 6.95
085.000 11.47 -235.65 6.96
086.000 11.30 -238.41 6.97
087.000 11.13 -241.00 6.98
088.000 10.97 -243.61 7.00
089.000 10.78 -246.25 7.01
090.000 10.60 -248.75 7.03
091.000 10.43 -251.37 7.04
092.000 10.23 -253.99 7.06
093.000 10.05 -256.39 7.07
094.000 9.86 -258.88 7.08
095.000 9.67 -261.38 7.09
096.000 9.50 -263.85 7.11
097.000 9.32 -266.36 7.13
098.000 9.14 -268.64 7.14
099.000 8.92 -271.07 7.16
100.000 8.73 -273.34 7.17
